,name,IoU Metric
88,IMG_00947,0.06754133266533066
89,IMG_02147,0.9888254962648072
90,IMG_02140,0.9891995822255982
91,IMG_01876,0.38017094017094016
92,IMG_00778,0.4450141105797588
93,IMG_00130,0.9886028332098058
94,IMG_00119,0.9830508474576272
95,IMG_02306,0.9871647696741732
96,IMG_02316,0.9857404279279279
97,IMG_02403,0.9883248847397756
98,IMG_00432,0.9863570299487593
99,IMG_02407,0.9807254924636676
100,IMG_02513,0.9892803722785442
101,IMG_01437,0.9843930635838151
102,IMG_00444,0.9844329623741388
103,IMG_00074,0.9764854083560781
104,IMG_02504,0.9872942149162269
105,IMG_00018,0.9866104868913858
106,IMG_00341,0.9913277986357146
107,IMG_01695,0.98536790133328
108,IMG_02022,0.9855128303922324
109,IMG_00121,0.9832775919732442
110,IMG_01261,0.9822430362456706
111,IMG_00531,0.5512368358604662
112,IMG_01097,0.38242563410401587
113,IMG_01435,0.9706147467099333
114,IMG_01214,0.9870792789918648
115,IMG_02044,0.9903781341431799
116,IMG_00926,0.04590778156034083
117,IMG_02040,0.9827905456921904
118,IMG_00463,0.9887242980322795
119,IMG_00492,0.9894836245010087
120,IMG_00668,0.3291310899045706
121,IMG_01160,0.9821970997649172
122,IMG_00104,0.9832743406949499
123,IMG_02067,0.9932824473299854
124,IMG_00831,0.7019667426352663
125,IMG_02297,0.9862611073137388
126,IMG_00443,0.9837259541199465
127,IMG_01704,0.37474902977692187
128,IMG_00430,0.9855534144955947
129,IMG_00375,0.4347329213578261
130,IMG_02249,0.985566128514915
131,IMG_00735,0.1711577773648021
132,IMG_01790,0.9904516294038662
133,IMG_00017,0.9892871114320966
134,IMG_01005,0.24226116773026002
135,IMG_00354,0.9896725440806046
136,IMG_02459,0.9870554715255548
137,IMG_01835,0.9908834577999586
138,IMG_01105,0.4303765091057909
139,IMG_01143,0.9859618337354683
140,IMG_02350,0.9905114911898186
141,IMG_02457,0.9786004405197325
142,IMG_01284,0.9759124087591241
143,IMG_01091,0.10538764783180027
144,IMG_01295,0.9913398919218512
145,IMG_01920,0.9879419378092336
146,IMG_01338,0.0
147,IMG_00020,0.9849514055805204
148,IMG_01786,0.98216812906878
149,IMG_02366,0.986534907403915
150,IMG_00442,0.5090680762828188
151,IMG_00904,0.3706461961503208
152,IMG_02408,0.9912859510001184
153,IMG_00737,0.3386521045215162
154,IMG_02569,0.9832404193401353
155,IMG_01775,0.9911254655493482
156,IMG_01479,0.9791432496565505
157,IMG_00822,0.2853969988566109
158,IMG_00178,0.010981697171381031
159,IMG_01897,0.9876612721598405
160,IMG_00497,0.9913789860905282
161,IMG_01300,0.9797445415485342
162,IMG_02394,0.9859324104234528
163,IMG_02305,0.9864605642983518
164,IMG_01026,0.24917309812568908
165,IMG_00553,0.9912494719508936
166,IMG_00352,0.9853013069126226
167,IMG_00048,0.11011204218058564
